sim_no   goal_mmse    goal_smse    goal_r2    goal_chi2    goal_ns    goal_br2    goal_ssqr    goal_pbias    goal_kge    goal_rsr    goal_mns
194     39674.410156  213.967499   0.050430   104.065216   -0.010665   0.003458   119.250092   27.091587   -0.081366   1.005303   0.076837
195     6272.896973  84.636986   0.644153   41.394718   0.598151   0.391000   21.959541   23.070454   0.609128   0.633914   0.494427
196     8856.990234  100.393791   0.582238   49.196075   0.522487   0.327224   27.859610   27.850262   0.548298   0.691017   0.430013
197     20572.640625  158.026672   0.315504   75.004791   0.270198   0.097402   51.268059   22.851952   0.323731   0.853678   0.217576
198     7106.204102  89.907181   0.628402   44.067242   0.572277   0.416486   19.534658   26.731394   0.622195   0.653999   0.461048
199     6156.002930  84.394150   0.645546   40.989655   0.601873   0.419601   17.216255   22.835697   0.640394   0.630956   0.483867
200     8308.063477  98.744843   0.591360   47.613800   0.537278   0.300885   33.131653   23.030510   0.529174   0.680141   0.445402
----------------------------------------------------------------------

        goal_mmse    goal_smse    goal_r2    goal_chi2    goal_ns    goal_br2    goal_ssqr    goal_pbias    goal_kge    goal_rsr    goal_mns
avg     1.#J     1.#J      1.#INF00    1.#INF00   1.#INF00   1.#INF00   1.#J     1.#INF00     1.#INF00   1.#INF00   1.#INF00


1/avg     0.000000    0.000000     0.000000   0.000000   0.000000   0.000000    0.000000     0.000000     0.000000   0.000000   0.000000
